date,leads_actual,leads_forecast,Nameplate
2018-08-13,524.0,,Cat1
2018-08-14,455.0,,Cat1
2018-08-15,554.0,,Cat1
2018-08-16,484.0,,Cat1
2018-08-17,457.0,,Cat1
2018-08-18,542.0,,Cat1
2018-08-19,445.0,,Cat1
2018-08-20,459.0,,Cat1
2018-08-21,447.0,,Cat1
2018-08-22,485.0,,Cat1
2018-08-23,460.0,,Cat1
2018-08-24,511.0,,Cat1
2018-08-25,488.0,,Cat1
2018-08-26,433.0,,Cat1
2018-08-27,516.0,,Cat1
2018-08-28,494.0,,Cat1
2018-08-29,485.0,,Cat1
2018-08-30,454.0,,Cat1
2018-08-31,430.0,,Cat1
2018-01-09,407.0,,Cat1
2018-02-09,412.0,,Cat1
2018-03-09,472.0,,Cat1
2018-04-09,420.0,,Cat1
2018-05-09,397.0,,Cat1
2018-06-09,403.0,,Cat1
2018-07-09,378.0,,Cat1
2018-08-09,353.0,,Cat1
2018-09-09,341.0,,Cat1
2018-10-09,417.0,,Cat1
2018-11-09,374.0,,Cat1
2018-12-09,407.0,,Cat1
2018-09-13,371.0,,Cat1
2018-09-14,348.0,,Cat1
2018-09-15,372.0,,Cat1
2018-09-16,372.0,,Cat1
2018-09-17,415.0,,Cat1
2018-09-18,406.0,,Cat1
2018-09-19,461.0,,Cat1
2018-09-20,477.0,,Cat1
2018-09-21,404.0,,Cat1
2018-09-22,361.0,,Cat1
2018-09-23,382.0,,Cat1
2018-09-24,397.0,,Cat1
2018-09-25,375.0,,Cat1
2018-09-26,404.0,,Cat1
2018-09-27,431.0,,Cat1
2018-09-28,343.0,,Cat1
2018-09-29,351.0,,Cat1
2018-09-30,346.0,,Cat1
2018-01-10,395.0,,Cat1
2018-02-10,396.0,,Cat1
2018-03-10,431.0,,Cat1
2018-04-10,439.0,,Cat1
2018-05-10,360.0,,Cat1
2018-06-10,420.0,,Cat1
2018-07-10,362.0,,Cat1
2018-08-10,391.0,,Cat1
2018-09-10,469.0,,Cat1
2018-10-10,409.0,,Cat1
2018-11-10,427.0,,Cat1
2018-12-10,369.0,,Cat1
2018-10-13,408.0,,Cat1
2018-10-14,387.0,,Cat1
2018-10-15,433.0,,Cat1
2018-10-16,478.0,,Cat1
2018-10-17,478.0,,Cat1
2018-10-18,415.0,,Cat1
2018-10-19,366.0,,Cat1
2018-10-20,432.0,,Cat1
2018-10-21,403.0,,Cat1
2018-10-22,468.0,,Cat1
2018-10-23,415.0,,Cat1
2018-10-24,444.0,,Cat1
2018-10-25,450.0,,Cat1
2018-10-26,441.0,,Cat1
2018-10-27,439.0,,Cat1
2018-10-28,396.0,,Cat1
2018-10-29,411.0,,Cat1
2018-10-30,420.0,,Cat1
2018-10-31,378.0,,Cat1
2018-01-11,381.0,,Cat1
2018-02-11,353.0,,Cat1
2018-03-11,395.0,,Cat1
2018-04-11,400.0,,Cat1
2018-05-11,394.0,,Cat1
2018-06-11,450.0,,Cat1
2018-07-11,411.0,,Cat1
2018-08-11,394.0,,Cat1
2018-09-11,406.0,,Cat1
2018-10-11,359.0,,Cat1
2018-11-11,331.0,,Cat1
2018-12-11,403.0,,Cat1
2018-11-13,431.0,,Cat1
2018-11-14,397.0,,Cat1
2018-11-15,362.0,,Cat1
2018-11-16,362.0,,Cat1
2018-11-17,461.0,,Cat1
2018-11-18,338.0,,Cat1
2018-11-19,329.0,,Cat1
2018-11-20,397.0,,Cat1
2018-11-21,340.0,,Cat1
2018-11-22,325.0,,Cat1
2018-11-23,370.0,,Cat1
2018-11-24,351.0,,Cat1
2018-11-25,276.0,,Cat1
2018-11-26,326.0,,Cat1
2018-11-27,371.0,,Cat1
2018-11-28,391.0,,Cat1
2018-11-29,347.0,,Cat1
2018-11-30,299.0,,Cat1
2018-01-12,307.0,,Cat1
2018-02-12,326.0,,Cat1
2018-03-12,396.0,,Cat1
2018-04-12,379.0,,Cat1
2018-05-12,383.0,,Cat1
2018-06-12,404.0,,Cat1
2018-07-12,359.0,,Cat1
2018-08-12,359.0,,Cat1
2018-09-12,329.0,,Cat1
2018-10-12,349.0,,Cat1
2018-11-12,333.0,,Cat1
2018-12-12,362.0,,Cat1
2018-12-13,331.0,,Cat1
2018-12-14,361.0,,Cat1
2018-12-15,364.0,,Cat1
2018-12-16,326.0,,Cat1
2018-12-17,349.0,,Cat1
2018-12-18,369.0,,Cat1
2018-12-19,354.0,,Cat1
2018-12-20,393.0,,Cat1
2018-12-21,353.0,,Cat1
2018-12-22,341.0,,Cat1
2018-12-23,311.0,,Cat1
2018-12-24,316.0,,Cat1
2018-12-25,314.0,,Cat1
2018-12-26,432.0,,Cat1
2018-12-27,371.0,,Cat1
2018-12-28,423.0,,Cat1
2018-12-29,434.0,,Cat1
2018-12-30,344.0,,Cat1
2018-12-31,368.0,,Cat1
2019-01-01,342.0,,Cat1
2019-02-01,431.0,,Cat1
2019-03-01,407.0,,Cat1
2019-04-01,417.0,,Cat1
2019-05-01,383.0,,Cat1
2019-06-01,389.0,,Cat1
2019-07-01,419.0,,Cat1
2019-08-01,408.0,,Cat1
2019-09-01,420.0,,Cat1
2019-10-01,393.0,,Cat1
2019-11-01,409.0,,Cat1
2019-12-01,357.0,,Cat1
2019-01-13,359.0,,Cat1
2019-01-14,394.0,,Cat1
2019-01-15,417.0,,Cat1
2019-01-16,399.0,,Cat1
2019-01-17,399.0,,Cat1
2019-01-18,509.0,,Cat1
2019-01-19,480.0,,Cat1
2019-01-20,417.0,,Cat1
2019-01-21,471.0,,Cat1
2019-01-22,426.0,,Cat1
2019-01-23,475.0,,Cat1
2019-01-24,440.0,,Cat1
2019-01-25,448.0,,Cat1
2019-01-26,391.0,,Cat1
2019-01-27,401.0,,Cat1
2019-01-28,424.0,,Cat1
2019-01-29,495.0,,Cat1
2019-01-30,473.0,,Cat1
2019-01-31,458.0,,Cat1
2019-01-02,417.0,,Cat1
2019-02-02,440.0,,Cat1
2019-03-02,482.0,,Cat1
2019-04-02,772.0,,Cat1
2019-05-02,731.0,,Cat1
2019-06-02,538.0,,Cat1
2019-07-02,641.0,,Cat1
2019-08-02,672.0,,Cat1
2019-09-02,499.0,,Cat1
2019-10-02,520.0,,Cat1
2019-11-02,484.0,,Cat1
2019-12-02,449.0,,Cat1
2019-02-13,484.0,,Cat1
2019-02-14,411.0,,Cat1
2019-02-15,385.0,,Cat1
2019-02-16,458.0,,Cat1
2019-02-17,412.0,,Cat1
2019-02-18,412.0,,Cat1
2019-02-19,387.0,,Cat1
2019-02-20,422.0,,Cat1
2019-02-21,408.0,,Cat1
2019-02-22,368.0,,Cat1
2019-02-23,375.0,,Cat1
2019-02-24,329.0,,Cat1
2019-02-25,399.0,,Cat1
2019-02-26,416.0,,Cat1
2019-02-27,381.0,,Cat1
2019-02-28,348.0,,Cat1
2019-01-03,366.0,,Cat1
2019-02-03,386.0,,Cat1
2019-03-03,378.0,,Cat1
2019-04-03,403.0,,Cat1
2019-05-03,390.0,,Cat1
2019-06-03,454.0,,Cat1
2019-07-03,431.0,,Cat1
