date,testdrive_actual,testdrive_forecast,Nameplate
2018-11-19,4302.0,,Cat1
2018-11-20,4585.0,,Cat1
2018-11-21,3903.0,,Cat1
2018-11-22,4254.0,,Cat1
2018-11-23,4132.0,,Cat1
2018-11-24,4169.0,,Cat1
2018-11-25,4111.0,,Cat1
2018-11-26,4057.0,,Cat1
2018-11-27,4586.0,,Cat1
2018-11-28,4355.0,,Cat1
2018-11-29,4281.0,,Cat1
2018-11-30,4041.0,,Cat1
2018-01-12,4032.0,,Cat1
2018-02-12,4010.0,,Cat1
2018-03-12,4315.0,,Cat1
2018-04-12,4662.0,,Cat1
2018-05-12,4019.0,,Cat1
2018-06-12,3960.0,,Cat1
2018-07-12,3965.0,,Cat1
2018-08-12,4087.0,,Cat1
2018-09-12,4178.0,,Cat1
2018-10-12,3976.0,,Cat1
2018-11-12,3920.0,,Cat1
2018-12-12,4008.0,,Cat1
2018-12-13,3911.0,,Cat1
2018-12-14,3844.0,,Cat1
2018-12-15,3933.0,,Cat1
2018-12-16,4086.0,,Cat1
2018-12-17,4169.0,,Cat1
2018-12-18,3903.0,,Cat1
2018-12-19,3871.0,,Cat1
2018-12-20,3809.0,,Cat1
2018-12-21,3619.0,,Cat1
2018-12-22,3795.0,,Cat1
2018-12-23,4061.0,,Cat1
2018-12-24,3688.0,,Cat1
2018-12-25,3459.0,,Cat1
2018-12-26,3842.0,,Cat1
2018-12-27,4267.0,,Cat1
2018-12-28,4146.0,,Cat1
2018-12-29,4450.0,,Cat1
2018-12-30,4631.0,,Cat1
2018-12-31,4088.0,,Cat1
2019-01-01,3980.0,,Cat1
2019-02-01,4198.0,,Cat1
2019-03-01,4409.0,,Cat1
2019-04-01,4190.0,,Cat1
2019-05-01,4639.0,,Cat1
2019-06-01,4672.0,,Cat1
2019-07-01,4383.0,,Cat1
2019-08-01,4472.0,,Cat1
2019-09-01,4340.0,,Cat1
2019-10-01,4248.0,,Cat1
2019-11-01,4445.0,,Cat1
2019-12-01,4442.0,,Cat1
2019-01-13,4472.0,,Cat1
2019-01-14,4569.0,,Cat1
2019-01-15,4648.0,,Cat1
2019-01-16,4366.0,,Cat1
2019-01-17,4523.0,,Cat1
2019-01-18,4913.0,,Cat1
2019-01-19,5176.0,,Cat1
2019-01-20,5078.0,,Cat1
2019-01-21,4590.0,,Cat1
2019-01-22,4519.0,,Cat1
2019-01-23,4436.0,,Cat1
2019-01-24,4375.0,,Cat1
2019-01-25,4166.0,,Cat1
2019-01-26,4621.0,,Cat1
2019-01-27,4801.0,,Cat1
2019-01-28,4421.0,,Cat1
2019-01-29,4305.0,,Cat1
2019-01-30,4260.0,,Cat1
2019-01-31,4704.0,,Cat1
2019-01-02,4549.0,,Cat1
2019-02-02,4524.0,,Cat1
2019-03-02,4583.0,,Cat1
2019-04-02,4285.0,,Cat1
2019-05-02,4569.0,,Cat1
2019-06-02,4458.0,,Cat1
2019-07-02,4478.0,,Cat1
2019-08-02,4555.0,,Cat1
2019-09-02,4808.0,,Cat1
2019-10-02,4993.0,,Cat1
2019-11-02,4823.0,,Cat1
2019-12-02,4302.0,,Cat1
2019-02-13,4158.0,,Cat1
2019-02-14,3846.0,,Cat1
2019-02-15,3968.0,,Cat1
2019-02-16,4154.0,,Cat1
2019-02-17,4638.0,,Cat1
2019-02-18,4318.0,,Cat1
2019-02-19,4188.0,,Cat1
2019-02-20,4044.0,,Cat1
2019-02-21,4045.0,,Cat1
2019-02-22,3958.0,,Cat1
2019-02-23,4149.0,,Cat1
2019-02-24,4482.0,,Cat1
2019-02-25,4126.0,,Cat1
2019-02-26,4229.0,,Cat1
2019-02-27,3782.0,,Cat1
2019-02-28,3971.0,,Cat1
2019-01-03,4244.0,,Cat1
2019-02-03,4236.0,,Cat1
2019-03-03,4545.0,,Cat1
2019-04-03,3926.0,,Cat1
2019-05-03,3918.0,,Cat1
2019-06-03,3987.0,,Cat1
2019-07-03,3868.0,,Cat1
2019-08-03,3959.0,,Cat1
2019-09-03,4287.0,,Cat1
2019-10-03,4234.0,,Cat1
2019-11-03,4265.0,,Cat1
2019-12-03,3945.0,,Cat1
2019-03-13,4121.0,,Cat1
2019-03-14,3900.0,,Cat1
2019-03-15,3869.0,,Cat1
2019-03-16,3973.0,,Cat1
2019-03-17,4551.0,,Cat1
2019-03-18,4407.0,,Cat1
2019-03-19,4306.0,,Cat1
2019-03-20,4599.0,,Cat1
2019-03-21,4254.0,,Cat1
2019-03-22,4160.0,,Cat1
2019-03-23,4297.0,,Cat1
2019-03-24,4640.0,,Cat1
2019-03-25,4671.0,,Cat1
2019-03-26,4382.0,,Cat1
2019-03-27,4433.0,,Cat1
2019-03-28,4438.0,,Cat1
2019-03-29,4413.0,,Cat1
2019-03-30,4229.0,,Cat1
2019-03-31,4493.0,,Cat1
2019-01-04,4112.0,,Cat1
2019-02-04,4104.0,,Cat1
2019-03-04,4005.0,,Cat1
2019-04-04,4149.0,,Cat1
2019-05-04,4264.0,,Cat1
2019-06-04,4193.0,,Cat1
2019-07-04,4331.0,,Cat1
2019-08-04,4320.0,,Cat1
2019-09-04,4399.0,,Cat1
2019-10-04,4453.0,,Cat1
2019-11-04,4786.0,,Cat1
2019-12-04,4288.0,,Cat1
2019-04-13,4554.0,,Cat1
2019-04-14,4655.0,,Cat1
2019-04-15,4570.0,,Cat1
2019-04-16,4523.0,,Cat1
2019-04-17,4774.0,,Cat1
2019-04-18,4619.0,,Cat1
2019-04-19,4360.0,,Cat1
2019-04-20,4484.0,,Cat1
2019-04-21,4883.0,,Cat1
2019-04-22,4521.0,,Cat1
2019-04-23,4437.0,,Cat1
2019-04-24,4587.0,,Cat1
2019-04-25,4487.0,,Cat1
2019-04-26,4525.0,,Cat1
2019-04-27,4381.0,,Cat1
2019-04-28,4705.0,,Cat1
2019-04-29,4703.0,,Cat1
2019-04-30,4821.0,,Cat1
2019-01-05,5107.0,,Cat1
2019-02-05,4889.0,,Cat1
2019-03-05,4564.0,,Cat1
2019-04-05,4607.0,,Cat1
2019-05-05,4522.0,,Cat1
2019-06-05,4563.0,,Cat1
2019-07-05,4698.0,,Cat1
2019-08-05,4508.0,,Cat1
2019-09-05,4108.0,,Cat1
2019-10-05,4158.0,,Cat1
2019-11-05,4038.0,,Cat1
2019-12-05,4498.0,,Cat1
2019-05-13,4410.0,,Cat1
2019-05-14,4263.0,,Cat1
2019-05-15,4450.0,,Cat1
2019-05-16,4244.0,,Cat1
2019-05-17,4092.0,,Cat1
2019-05-18,4244.0,,Cat1
2019-05-19,4497.0,,Cat1
2019-05-20,4287.0,,Cat1
2019-05-21,4038.0,,Cat1
2019-05-22,4292.0,,Cat1
2019-05-23,4020.0,,Cat1
2019-05-24,4172.0,,Cat1
2019-05-25,4015.0,,Cat1
2019-05-26,4216.0,,Cat1
2019-05-27,4347.0,,Cat1
2019-05-28,4386.0,,Cat1
2019-05-29,4218.0,,Cat1
2019-05-30,3916.0,,Cat1
2019-05-31,3618.0,,Cat1
2019-01-06,3884.0,,Cat1
2019-02-06,3902.0,,Cat1
2019-03-06,3752.0,,Cat1
2019-04-06,4003.0,,Cat1
2019-05-06,3990.0,,Cat1
2019-06-06,3704.0,,Cat1
2019-07-06,3659.0,,Cat1
2019-08-06,3763.0,,Cat1
2019-09-06,4181.0,,Cat1
2019-10-06,3935.0,,Cat1
2019-11-06,3754.0,,Cat1
2019-12-06,3915.0,,Cat1
2019-06-13,3574.0,,Cat1
2019-06-14,3425.0,,Cat1
2019-06-15,3190.0,,Cat1
2019-06-16,3478.0,,Cat1
2019-06-17,3835.0,,Cat1
2019-06-18,3828.0,,Cat1
2019-06-19,4157.0,,Cat1
2019-06-20,3856.0,,Cat1
2019-06-21,3839.0,,Cat1
2019-06-22,3919.0,,Cat1
2019-06-23,4253.0,,Cat1
2019-06-24,4054.0,,Cat1
2019-06-25,4452.0,,Cat1
2019-06-26,4607.0,,Cat1
2019-06-27,5646.0,,Cat1
2019-06-28,5878.0,,Cat1
2019-06-29,4978.0,,Cat1
2019-06-30,4907.0,,Cat1
2019-01-07,4451.0,,Cat1
2019-02-07,4167.0,,Cat1
2019-03-07,3380.0,,Cat1
2019-04-07,3665.0,,Cat1
2019-05-07,3928.0,,Cat1
2019-06-07,3867.0,,Cat1
2019-07-07,3991.0,,Cat1
2019-08-07,3835.0,,Cat1
2019-09-07,3788.0,,Cat1
2019-10-07,3918.0,,Cat1
2019-11-07,3531.0,,Cat1
2019-12-07,3697.0,,Cat1
2019-07-13,3990.0,,Cat1
2019-07-14,4126.0,,Cat1
2019-07-15,3765.0,,Cat1
2019-07-16,3864.0,,Cat1
2019-07-17,3906.0,,Cat1
2019-07-18,3851.0,,Cat1
2019-07-19,3985.0,,Cat1
2019-07-20,3866.0,,Cat1
2019-07-21,4160.0,,Cat1
2019-07-22,3970.0,,Cat1
2019-07-23,3768.0,,Cat1
2019-07-24,3744.0,,Cat1
2019-07-25,3691.0,,Cat1
2019-07-26,4144.0,,Cat1
2019-07-27,4456.0,,Cat1
2019-07-28,5026.0,,Cat1
2019-07-29,4729.0,,Cat1
2019-07-30,4531.0,,Cat1
2019-07-31,4436.0,,Cat1
2019-01-08,6697.0,,Cat1
2019-02-08,6443.0,,Cat1
2019-03-08,5984.0,,Cat1
2019-04-08,6096.0,,Cat1
2019-05-08,5889.0,,Cat1
2019-06-08,5515.0,,Cat1
2019-07-08,5087.0,,Cat1
2019-08-08,4765.0,,Cat1
2019-09-08,5060.0,,Cat1
2019-10-08,5484.0,,Cat1
2019-11-08,5674.0,,Cat1
2019-12-08,5501.0,,Cat1
2019-08-13,5388.0,,Cat1
2019-08-14,5136.0,,Cat1
2019-08-15,5028.0,,Cat1
2019-08-16,5119.0,,Cat1
2019-08-17,5255.0,,Cat1
2019-08-18,5980.0,,Cat1
2019-08-19,5562.0,,Cat1
2019-08-20,5252.0,,Cat1
2019-08-21,5263.0,,Cat1
2019-08-22,5219.0,,Cat1
2019-08-23,4956.0,,Cat1
2019-08-24,4982.0,,Cat1
2019-08-25,5403.0,,Cat1
2019-08-26,5156.0,,Cat1
2019-08-27,5154.0,,Cat1
2019-08-28,5002.0,,Cat1
2019-08-29,5329.0,,Cat1
2019-08-30,5226.0,,Cat1
2019-08-31,5279.0,,Cat1
2019-01-09,5656.0,,Cat1
2019-02-09,6159.0,,Cat1
2019-03-09,5463.0,,Cat1
2019-04-09,5044.0,,Cat1
2019-05-09,5141.0,,Cat1
2019-06-09,4920.0,,Cat1
2019-07-09,4946.0,,Cat1
2019-08-09,5115.0,,Cat1
2019-09-09,4997.0,,Cat1
2019-10-09,4872.0,,Cat1
2019-11-09,4817.0,,Cat1
2019-12-09,5105.0,,Cat1
2019-09-13,4728.0,,Cat1
2019-09-14,4761.0,,Cat1
2019-09-15,5002.0,,Cat1
2019-09-16,4964.0,,Cat1
2019-09-17,4935.0,,Cat1
2019-09-18,4937.0,,Cat1
2019-09-19,4838.0,,Cat1
2019-09-20,4666.0,,Cat1
2019-09-21,4649.0,,Cat1
2019-09-22,4728.0,,Cat1
2019-09-23,5181.0,,Cat1
2019-09-24,5125.0,,Cat1
2019-09-25,5027.0,,Cat1
2019-09-26,5109.0,,Cat1
2019-09-27,5096.0,,Cat1
2019-09-28,4989.0,,Cat1
2019-09-29,5343.0,,Cat1
2019-09-30,5296.0,,Cat1
2019-01-10,5328.0,,Cat1
2019-02-10,5283.0,,Cat1
2019-03-10,5273.0,,Cat1
2019-04-10,5287.0,,Cat1
2019-05-10,5083.0,,Cat1
2019-06-10,5455.0,,Cat1
2019-07-10,5412.0,,Cat1
2019-08-10,5039.0,,Cat1
2019-09-10,5531.0,,Cat1
2019-10-10,5218.0,,Cat1
2019-11-10,4772.0,,Cat1
2019-12-10,4944.0,,Cat1
2019-10-13,5221.0,,Cat1
2019-10-14,5110.0,,Cat1
2019-10-15,4874.0,,Cat1
2019-10-16,4802.0,,Cat1
2019-10-17,4956.0,,Cat1
2019-10-18,4694.0,,Cat1
2019-10-19,4455.0,,Cat1
2019-10-20,4653.0,,Cat1
2019-10-21,4997.0,,Cat1
2019-10-22,4919.0,,Cat1
2019-10-23,4801.0,,Cat1
2019-10-24,4764.0,,Cat1
2019-10-25,4290.0,,Cat1
2019-10-26,4128.0,,Cat1
2019-10-27,4309.0,,Cat1
2019-10-28,4372.0,,Cat1
2019-10-29,4939.0,,Cat1
2019-10-30,4811.0,,Cat1
2019-10-31,4416.0,,Cat1
2019-01-11,4251.0,,Cat1
2019-02-11,4624.0,,Cat1
2019-03-11,5144.0,,Cat1
2019-04-11,4787.0,,Cat1
2019-05-11,5167.0,,Cat1
2019-06-11,5027.0,,Cat1
2019-07-11,4785.0,,Cat1
2019-08-11,4962.0,,Cat1
2019-09-11,4846.0,,Cat1
