date,Category,visits,testdrive,leads,total_spend_nobrand_nodig,total_spend_nobrand
21/01/18,Cat6,821,338,9,0,3522.404462
21/01/18,Cat7,8013,3878,403,63871.98155,117731.876
21/01/18,Cat8,19098,5363,660,355991.0554,587182.506
21/01/18,Cat9,867,309,54,0,18260.24021
21/01/18,Cat10,450,150,19,0,0
21/01/18,Cat11,12056.70375,4720.603658,933,180426.5477,265926.1305
22/01/18,Cat1,9955,3216,395,101416.119,130723.3679
22/01/18,Cat2,6441,2357,393,27222.21429,81475.45802
22/01/18,Cat3,6144,1198,521,382022.1811,452971.6664
22/01/18,Cat4,3807,1234,359,21482.78571,75960.5787
22/01/18,Cat5,9779,3367,725,42236.17203,75262.91152
22/01/18,Cat6,891,311,13,0,3170.232862
22/01/18,Cat7,7224,3302,383,7298.91012,44643.28895
22/01/18,Cat8,15967,4239,719,235136.5125,412680.1389
22/01/18,Cat9,1044,274,45,0,15944.96999
22/01/18,Cat10,560,143,21,0,0
22/01/18,Cat11,14142,6194,969,70249.42618,135502.8944
23/01/18,Cat1,13244,3969,401,101416.119,130723.3679
23/01/18,Cat2,6932,2576,415,27222.21429,81475.45802
23/01/18,Cat3,7636,1569,414,382022.1811,452971.6664
23/01/18,Cat4,5673,1887,347,21482.78571,75960.5787
23/01/18,Cat5,14761,5182,728,42236.17203,75262.91152
23/01/18,Cat6,869,305,5,0,3170.232862
23/01/18,Cat7,6817,3140,373,7298.91012,44643.28895
23/01/18,Cat8,14868,4240,715,235136.5125,412680.1389
23/01/18,Cat9,1111,294,43,0,15944.96999
23/01/18,Cat10,601,125,14,0,0
23/01/18,Cat11,23201,10615,979,70249.42618,135502.8944
24/01/18,Cat1,12057,3837,365,101416.119,130723.3679
24/01/18,Cat2,6820,2472,383,27222.21429,81475.45802
24/01/18,Cat3,7342,1585,503,382022.1811,452971.6664
24/01/18,Cat4,5337,1780,320,21482.78571,75960.5787
24/01/18,Cat5,13966,4925,688,42236.17203,75262.91152
24/01/18,Cat6,856,324,10,0,3170.232862
24/01/18,Cat7,6738,3108,436,7298.91012,44643.28895
24/01/18,Cat8,14567,4136,683,235136.5125,412680.1389
24/01/18,Cat9,1035,287,44,0,15944.96999
24/01/18,Cat10,520,127,20,0,0
24/01/18,Cat11,21753,9817,939,70249.42618,135502.8944
25/01/18,Cat1,11844,3713,404,101416.119,130723.3679
25/01/18,Cat2,6730,2456,413,27222.21429,81475.45802
25/01/18,Cat3,7123,1512,463,382022.1811,452971.6664
25/01/18,Cat4,5404,1825,382,21482.78571,75960.5787
25/01/18,Cat5,13810,4856,723,42236.17203,75262.91152
25/01/18,Cat6,839,300,6,0,3170.232862
25/01/18,Cat7,6828,3149,418,7298.91012,44643.28895
25/01/18,Cat8,13991,3913,717,235136.5125,412680.1389
25/01/18,Cat9,1065,327,60,0,15944.96999
25/01/18,Cat10,587,153,12,0,0
25/01/18,Cat11,21774,9837,949,70249.42618,135502.8944
26/01/18,Cat1,11983,3547,405,101416.119,130723.3679
26/01/18,Cat2,6601,2381,390,27222.21429,81475.45802
26/01/18,Cat3,8496,1754,549,382022.1811,452971.6664
26/01/18,Cat4,5440,1802,367,21482.78571,75960.5787
26/01/18,Cat5,13593,4715,684,42236.17203,75262.91152
26/01/18,Cat6,790,311,6,0,3170.232862
26/01/18,Cat7,6479,2956,405,7298.91012,44643.28895
26/01/18,Cat8,13980,3904,736,235136.5125,412680.1389
26/01/18,Cat9,992,256,30,0,15944.96999
26/01/18,Cat10,513,120,12,0,0
26/01/18,Cat11,21816,9916,868,70249.42618,135502.8944
27/01/18,Cat1,11490,3754,449,101416.119,130723.3679
27/01/18,Cat2,6702,2702,434,27222.21429,81475.45802
27/01/18,Cat3,8424,1830,491,382022.1811,452971.6664
27/01/18,Cat4,6090,2082,303,21482.78571,75960.5787
27/01/18,Cat5,15391,5527,753,42236.17203,75262.91152
27/01/18,Cat6,788,282,9,0,3170.232862
27/01/18,Cat7,6924,3320,403,7298.91012,44643.28895
27/01/18,Cat8,15159,4310,682,235136.5125,412680.1389
27/01/18,Cat9,903,264,41,0,15944.96999
27/01/18,Cat10,478,128,22,0,0
27/01/18,Cat11,24989,11241,953,70249.42618,135502.8944
28/01/18,Cat1,11452,3976,405,101416.119,130723.3679
28/01/18,Cat2,6992,2798,421,27222.21429,81475.45802
28/01/18,Cat3,8546,1826,425,382022.1811,452971.6664
28/01/18,Cat4,6108,2090,329,21482.78571,75960.5787
28/01/18,Cat5,16072,6154,673,42236.17203,75262.91152
28/01/18,Cat6,772,315,4,0,3170.232862
28/01/18,Cat7,7307,3545,446,7298.91012,44643.28895
28/01/18,Cat8,15719,4662,675,235136.5125,412680.1389
28/01/18,Cat9,919,292,53,0,15944.96999
28/01/18,Cat10,474,128,25,0,0
28/01/18,Cat11,25585,11671,923,70249.42618,135502.8944
29/01/18,Cat1,11229,3676,407,90.5,4644.807054
29/01/18,Cat2,6790,2600,447,272.6428571,5170.84572
29/01/18,Cat3,8806,1817,572,598337.8186,697147.3147
29/01/18,Cat4,5661,1880,343,150838.9357,183350.9857
29/01/18,Cat5,14510,5121,721,136562.0893,187934.7519
29/01/18,Cat6,927,335,9,0,319.4427633
29/01/18,Cat7,7362,3310,422,1245.642857,20494.42475
29/01/18,Cat8,16512,4365,773,2116805.003,2472241.485
29/01/18,Cat9,1107,307,47,0,3848.479248
29/01/18,Cat10,559,147,15,0,0
29/01/18,Cat11,22181,9746,1034,1561929.643,1684216.331
30/01/18,Cat1,11173,3403,381,90.5,4644.807054
30/01/18,Cat2,6446,2261,452,272.6428571,5170.84572
30/01/18,Cat3,12232,1656,434,598337.8186,697147.3147
30/01/18,Cat4,5079,1665,347,150838.9357,183350.9857
30/01/18,Cat5,13197,4602,760,136562.0893,187934.7519
30/01/18,Cat6,909,336,8,0,319.4427633
30/01/18,Cat7,7036,3155,377,1245.642857,20494.42475
30/01/18,Cat8,16562,4182,680,2116805.003,2472241.485
30/01/18,Cat9,1072,315,50,0,3848.479248
30/01/18,Cat10,473,120,13,0,0
30/01/18,Cat11,20299,9043,909,1561929.643,1684216.331
31/01/18,Cat1,10302,3357,451,90.5,4644.807054
31/01/18,Cat2,6378,2360,405,272.6428571,5170.84572
31/01/18,Cat3,7528,1567,462,598337.8186,697147.3147
31/01/18,Cat4,4949,1671,350,150838.9357,183350.9857
31/01/18,Cat5,12716,4402,644,136562.0893,187934.7519
31/01/18,Cat6,825,302,4,0,319.4427633
31/01/18,Cat7,6469,2965,389,1245.642857,20494.42475
31/01/18,Cat8,14264,3640,641,2116805.003,2472241.485
31/01/18,Cat9,1069,323,44,0,3848.479248
31/01/18,Cat10,517,137,8,0,0
31/01/18,Cat11,20808,9002,882,1561929.643,1684216.331
01/02/18,Cat1,10460,3405,381,90.5,4644.807054
01/02/18,Cat2,6644,2489,420,272.6428571,5170.84572
01/02/18,Cat3,7622,1918,347,598337.8186,697147.3147
01/02/18,Cat4,5645,1868,329,150838.9357,183350.9857
01/02/18,Cat5,12730,4457,633,136562.0893,187934.7519
01/02/18,Cat6,810,283,10,0,319.4427633
01/02/18,Cat7,6304,2908,372,1245.642857,20494.42475
01/02/18,Cat8,14295,5141,559,2116805.003,2472241.485
01/02/18,Cat9,1151,335,45,0,3848.479248
01/02/18,Cat10,510,142,17,0,0
01/02/18,Cat11,20582,9065,884,1561929.643,1684216.331
02/02/18,Cat1,11150,3521,364,90.5,4644.807054
02/02/18,Cat2,6879,2458,442,272.6428571,5170.84572
02/02/18,Cat3,6914,1816,417,598337.8186,697147.3147
02/02/18,Cat4,5075,1671,342,150838.9357,183350.9857
02/02/18,Cat5,12145,4136,577,136562.0893,187934.7519
02/02/18,Cat6,764,256,5,0,319.4427633
02/02/18,Cat7,6023,2705,371,1245.642857,20494.42475
02/02/18,Cat8,13312,5323,624,2116805.003,2472241.485
02/02/18,Cat9,1005,263,47,0,3848.479248
02/02/18,Cat10,519,114,14,0,0
02/02/18,Cat11,20058,8685,879,1561929.643,1684216.331
03/02/18,Cat1,11099,3048,381,90.5,4644.807054
03/02/18,Cat2,6960,2183,356,272.6428571,5170.84572
03/02/18,Cat3,8431,1723,358,598337.8186,697147.3147
03/02/18,Cat4,5549,1580,309,150838.9357,183350.9857
03/02/18,Cat5,14152,4400,554,136562.0893,187934.7519
03/02/18,Cat6,722,213,2,0,319.4427633
03/02/18,Cat7,6338,2412,347,1245.642857,20494.42475
03/02/18,Cat8,15090,4906,589,2116805.003,2472241.485
03/02/18,Cat9,850,210,36,0,3848.479248
03/02/18,Cat10,443,108,5,0,0
03/02/18,Cat11,22476,8251,908,1561929.643,1684216.331
04/02/18,Cat1,10813,3521,294,90.5,4644.807054
04/02/18,Cat2,6657,2568,352,272.6428571,5170.84572
04/02/18,Cat3,10862,2383,269,598337.8186,697147.3147
04/02/18,Cat4,6171,1456,252,150838.9357,183350.9857
04/02/18,Cat5,16268,5530,493,136562.0893,187934.7519
04/02/18,Cat6,836,326,5,0,319.4427633
04/02/18,Cat7,8186,3584,308,1245.642857,20494.42475
04/02/18,Cat8,25898,9663,540,2116805.003,2472241.485
04/02/18,Cat9,882,263,29,0,3848.479248
04/02/18,Cat10,467,109,15,0,0
04/02/18,Cat11,43527.81888,18844.15879,893,1561929.643,1684216.331
05/02/18,Cat1,10628,3360,366,31039.28571,89691.67264
05/02/18,Cat2,6925,2607,452,51006.7619,129339.7257
05/02/18,Cat3,9059,2123,385,238248.1305,383558.8197
05/02/18,Cat4,5730,1885,363,77922.08095,152086.8247
05/02/18,Cat5,13913,4788,571,173689.8821,280900.6555
05/02/18,Cat6,890,291,7,0,3870.728343
05/02/18,Cat7,7815,3362,409,34564.48281,94597.9526
05/02/18,Cat8,25962,9531,608,528750.2953,885385.5308
05/02/18,Cat9,1093,313,44,0,20262.27096
05/02/18,Cat10,566,142,13,0,0
05/02/18,Cat11,43527.81888,16700,995,11538.39286,171778.1866
06/02/18,Cat1,10821,3405,402,31039.28571,89691.67264
06/02/18,Cat2,6991,2545,395,51006.7619,129339.7257
06/02/18,Cat3,7112,1903,383,238248.1305,383558.8197
06/02/18,Cat4,5217,1681,301,77922.08095,152086.8247
06/02/18,Cat5,13260,4497,613,173689.8821,280900.6555
06/02/18,Cat6,905,307,8,0,3870.728343
06/02/18,Cat7,7034,3098,409,34564.48281,94597.9526
06/02/18,Cat8,18389,7082,627,528750.2953,885385.5308
06/02/18,Cat9,1104,299,40,0,20262.27096
06/02/18,Cat10,533,126,14,0,0
